CharacterID,Section,FieldKey,Value
char_lunette,CharacterDefinition,CharacterID,char_lunette
char_lunette,CharacterDefinition,DisplayName,루네트
char_lunette,CharacterDefinition,EnglishName,Lunette
char_lunette,CharacterDefinition,NameKey,CHAR_LUNETTE_NAME
char_lunette,CharacterDefinition,RaceID,race_rabbitkin
char_lunette,CharacterDefinition,JobID,job_herbalist
char_lunette,CharacterDefinition,Gender,여성
char_lunette,CharacterDefinition,AgeDisplay,16세
char_lunette,CharacterDefinition,HeightDisplay,158cm
char_lunette,CharacterDefinition,IsAvailable,TRUE
char_lunette,CharacterDefinition,UnlockConditionID,unlock_lunette_first_meeting
char_lunette,CharacterDefinition,DefaultAreaID,area_tbd
char_lunette,CharacterDefinition,Summary,"“상처받은 마음을 품은 치유자. 낯선 섬에서 플레이어를 만나, 신뢰와 따뜻함으로 마음의 둥지를 찾아가는 소녀.”"
char_lunette,CharacterDefinition,SymbolMotif,토끼 / 민들레 / 새벽의 빛 (희망과 재생의 상징)
char_lunette,CharacterDefinition,ThemeColor,#D8E8E0 (실버민트) / #E8D6B0 (크림베이지)
char_lunette,CharacterAppearance,Hair,"은발에 가까운 연회색, 부드럽게 말린 롱헤어"
char_lunette,CharacterAppearance,Eyes,"연한 에메랄드빛, 언제나 호기심 어린 눈빛"
char_lunette,CharacterAppearance,BodyImpression,슬림하지만 다리에 탄력 있음. 민첩하고 따뜻한 인상
char_lunette,CharacterAppearance,Outfit,약초사풍 원피스 + 가죽 파우치 + 짧은 부츠
char_lunette,CharacterAppearance,Accessories,토끼발 모양 펜던트 (행운의 상징)
char_lunette,CharacterAppearance,Features,"긴 롭 이어 토끼 귀, 귀 끝은 연한 갈색. 감정에 따라 귀가 움직임"
char_lunette,CharacterAppearance,IllustrationStyle,"일본 애니풍 (파스텔톤 / 자연광 중심, 부드러운 색채 표현)"
char_lunette,CharacterAppearance,PortraitAddress,Characters/lunette/Portrait
char_lunette,CharacterAppearance,FullBodyAddress,Characters/lunette/FullBody
char_lunette,CharacterAppearance,PrefabAddress,Characters/lunette/Prefab
char_lunette,CharacterAppearance,AnimatorControllerAddress,Characters/lunette/AnimatorController
char_lunette,CharacterPersonality,PersonalityTags,"수줍음, 상냥함, 호기심, 신중함"
char_lunette,CharacterPersonality,SpeechStyle,말할 때 어미를 살짝 늘림 (“그게… 그러니까요…”) 놀라면 귀가 움찔 움직임
char_lunette,CharacterPersonality,Trauma,어릴 적 무리를 잃은 기억으로 “외로움”에 민감함
char_lunette,CharacterPersonality,Desire,자신이 의지할 수 있는 ‘가족 같은 동료’를 찾는 것
char_lunette,CharacterPersonality,Background,"어린 시절, 가족을 잃고 홀로 살아남은 후 약초사에게 거두어져 치료술을 배움. 섬의 자연을 사랑하며 다른 종족과 협력하려 노력함."
char_lunette,CharacterPersonality,VoiceConcept,잔잔하고 따뜻한 여성음. 부끄러울 땐 어미가 작아짐 (“…요”)
char_lunette,CharacterGameplayDefinition,NpcRoles,QuestGiver | Crafter | Worker
char_lunette,CharacterGameplayDefinition,InteractionTypes,Dialogue | Quest | Gift | Craft
char_lunette,CharacterGameplayDefinition,ShopID,
char_lunette,CharacterGameplayDefinition,CraftingStationID,station_lunette
char_lunette,CharacterGameplayDefinition,DefaultAffinity,0
char_lunette,CharacterGameplayDefinition,MaxAffinity,100
char_lunette,CharacterGameplayDefinition,GiftProfileID,gift_lunette
char_lunette,CharacterGameplayDefinition,QuestGroupID,quest_lunette
char_lunette,CharacterGameplayDefinition,RecruitmentConditionID,
char_lunette,CharacterGameplayDefinition,CompanionAbilityID,
char_lunette,CharacterGameplayDefinition,WorkAbilityID,work_herbalism
char_lunette,CharacterGameplayDefinition,ScheduleID,schedule_lunette
char_lunette,CharacterGameplayDefinition,SpawnPointID,spawn_lunette_default
char_lunette,CharacterDialogueSet,DialogueTableID,dlg_lunette
char_lunette,CharacterDialogueSet,Greeting,“좋은 아침이에요. 햇살이 부드럽네요.”
char_lunette,CharacterDialogueSet,RandomTalk,"“이 섬의 공기는 참 맑아요… 하지만, 어쩐지 쓸쓸해요.”"
